## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value,Remote Access,I/O Address,Data Type,Structure Type,BOW Details
## 3.0
SSTR-000004,"Critical Error Log String 04",false,,,,50,,,,"4th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000005,"Critical Error Log String 05",false,,,,50,,,,"5th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000006,"Critical Error Log String 06",false,,,,50,,,,"6th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000007,"Critical Error Log String 07",false,,,,50,,,,"7th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000008,"Critical Error Log String 08",false,,,,50,,,,"8th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000009,"Critical Error Log String 09",false,,,,50,,,,"9th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000010,"Critical Error Log String 10",false,,,,50,,,,"10th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000011,"Critical Error Log String 11",false,,,,50,,,,"11th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000012,"Critical Error Log String 12",false,,,,50,,,,"12th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000013,"Critical Error Log String 13",false,,,,50,,,,"13th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000014,"Critical Error Log String 14",false,,,,50,,,,"14th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000015,"Critical Error Log String 15",false,,,,50,,,,"15th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000016,"Critical Error Log String 16",false,,,,50,,,,"16th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000017,"Critical Error Log String 17",false,,,,50,,,,"17th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000018,"Critical Error Log String 18",false,,,,50,,,,"18th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000019,"Critical Error Log String 19",false,,,,50,,,,"19th most recent critical error message",,,,false,,"SSTR",,false,
SSTR-000020,"Critical Error Log String 20",false,,,,50,,,,"20th most recent critical error message",,,,false,,"SSTR",,false,
SWR-001510,"Current Critical Error",false,"0",,,,,,,"current critical error number",,,,false,,"SWR",,false,
SWR-001516,"Current I/O Config Error Base",false,"0",,,,,,,"I/O base in which ""I/O Configuration Error"" occurred",,,,false,,"SWR",,false,
SWR-001515,"Current I/O Config Error Group",false,"0",,,,,,,"I/O group in which ""I/O Configuration Error"" occurred",,,,false,,"SWR",,false,
SWR-001517,"Current I/O Config Error Slot",false,"0",,,,,,,"I/O slot in which ""I/O Configuration Error"" occurred",,,,false,,"SWR",,false,
SWR-001511,"Current Non-critical Error",false,"0",,,,,,,"current noncritical error number",,,,false,,"SWR",,false,
DI-0.1.1.1,"DI-0.1.1.1",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.1","DI",,false,
DI-0.1.1.10,"DI-0.1.1.10",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.10","DI",,false,
DI-0.1.1.11,"DI-0.1.1.11",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.11","DI",,false,
DI-0.1.1.12,"DI-0.1.1.12",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.12","DI",,false,
DI-0.1.1.13,"DI-0.1.1.13",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.13","DI",,false,
DI-0.1.1.14,"DI-0.1.1.14",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.14","DI",,false,
DI-0.1.1.15,"DI-0.1.1.15",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.15","DI",,false,
DI-0.1.1.16,"DI-0.1.1.16",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.16","DI",,false,
DI-0.1.1.2,"DI-0.1.1.2",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.2","DI",,false,
DI-0.1.1.3,"DI-0.1.1.3",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.3","DI",,false,
DI-0.1.1.4,"DI-0.1.1.4",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.4","DI",,false,
DI-0.1.1.5,"DI-0.1.1.5",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.5","DI",,false,
DI-0.1.1.6,"DI-0.1.1.6",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.6","DI",,false,
DI-0.1.1.7,"DI-0.1.1.7",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.7","DI",,false,
DI-0.1.1.8,"DI-0.1.1.8",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.8","DI",,false,
DI-0.1.1.9,"DI-0.1.1.9",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.1.9","DI",,false,
DO-0.1.2.10,"DO-0.1.2.10",false,"False",,,,,,,,false,false,"False",false,"DO-0.1.2.10","DO",,false,
DO-0.1.2.11,"DO-0.1.2.11",false,"False",,,,,,,,false,false,"False",false,"DO-0.1.2.11","DO",,false,
DO-0.1.2.12,"DO-0.1.2.12",false,"False",,,,,,,,false,false,"False",false,"DO-0.1.2.12","DO",,false,
DO-0.1.2.13,"DO-0.1.2.13",false,"False",,,,,,,,false,false,"False",false,"DO-0.1.2.13","DO",,false,
